Datensatztyp*;EinheitMastrNummer;Anlagenbetreiber;Anzeigename;Postleitzahl;Ort;Strasse;Hausnummer;Bundesland;Land;Jahr_Inbetriebnahme;Jahr_Stilllegung**;Kraftwerksstatus;Energietraeger;Hauptbrennstoff;Waermeauskopplung_KWK;Erneuerbarer_Energietraeger;Bruttoleistung_MW;Nettonennleistung_MW;Technologie_Stromerzeugung;Volleinspeisung_Teileinspeisung;Spannungsebene;Anschlussnetzbetreiber;Bestandteil_Grenzkraftwerk;Grenzkraftwerk_Nettonennleistung_MW
Einzelanlage;SEE900600559253;Rheinkraftwerk Albbruck-Dogern AG;RADAG Wehrkraftwerk;79804;Dogern;Zollstra?e;;BadenWuerttemberg;Deutschland;2009;;InBetrieb;Wasser;;Nein;Ja;28,45;24;Laufwasseranlage;Volleinspeisung;Hochspannung;Amprion GmbH (SNB976890256486);Ja;24
Einzelanlage;SEE900838448145;Zweckverband M?llverwertung Schwandorf;MKW SAD Turbine 3;92421;Schwandorf;Alustra?e;7;Bayern;Deutschland;1982;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;10;10;KondensationsmaschinemitEntnahme;Volleinspeisung;Hochspannung;Bayernwerk Netz GmbH (SNB940352624434);Nein;
Einzelanlage;SEE901246020381;TEAG Th?ringer Energie AG;Gasmotor Bad Salzungen;36433;Bad Salzungen;Langenfelder Stra?e;82;Thueringen;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;10,051;10,003;Verbrennungsmotor;Volleinspeisung;Mittelspannung;TEN Th?ringer Energienetze GmbH & Co. KG (SNB970821959712);Nein;
Einzelanlage;SEE901752522324;EnBW Energie Baden-W?rttemberg AG;Rheinhafen-Dampfkraftwerk RDK 8 Wasserturbine;76189;Karlsruhe;Fettweisstra?e;42;BadenWuerttemberg;Deutschland;2014;;InBetrieb;Wasser;;Nein;Ja;1,8;1,8;Abwasserkraftanlage;TeileinspeisungEigenverbrauch;Mittelspannung;Netze BW GmbH (SNB948311994307);Nein;
Einzelanlage;SEE905721866655;RWE Power AG;Fab Frechen;50226;Frechen;Ludwigstra?e;;NordrheinWestfalen;Deutschland;1962;;InBetrieb;Braunkohle;Rohbraunkohlen;Ja;Nein;82;56;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE915137840866;swb Erzeugung AG & Co. KG;BHKW Hastedt Motor 05;28207;Bremen;Hastedter Osterdeich;255;Bremen;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;11,8096;11,6794;Verbrennungsmotor;Volleinspeisung;Hochspannung;wesernetz Bremen GmbH (SNB942238573102);Nein;
Einzelanlage;SEE900040609433;R.D.M. Arnsberg GmbH;SSW-NT;59821;Arnsberg;Hellefelder Stra?e;51;NordrheinWestfalen;Deutschland;1957;;InBetrieb;Steinkohle;Steinkohlen;Ja;Nein;7;6,14;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE901022774309;EnBW Energie Baden-W?rttemberg AG;illwerke vkw L?nerseewerk M4;A-6774;Tschagguns;Latschaustrasse;;;Oesterreich;1957;;InBetrieb;Pumpspeicher;;Nein;Nein;56;56;Pumpspeicher;Volleinspeisung;Hoechstspannung;TransnetBW GmbH (SNB984944755380);Nein;
Einzelanlage;SEE901401382521;Hamburger Energiewerke GmbH;Tiefstack HKW 16bar-Turbine;22113;Hamburg;Andreas-Meyer-Stra?e;8;Hamburg;Deutschland;2001;;InBetrieb;Waerme;Waerme;Ja;Nein;5;4,9;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;Hamburger Energienetze GmbH (SNB968295079586);Nein;
Einzelanlage;SEE902114639810;envia THERM GmbH;Bitterfeld BHKW;06749;Bitterfeld-Wolfen;Parsevalstra?e;3 B;SachsenAnhalt;Deutschland;2016;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,478;2;Verbrennungsmotor;Volleinspeisung;Hochspannung;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);Nein;
Einzelanlage;SEE909886576275;RWE Power AG;Weisweiler G VGT;52249;Eschweiler;Am Kraftwerk;17;NordrheinWestfalen;Deutschland;2006;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;202;200;KondensationsmaschinemitEntnahme;Volleinspeisung;UmspannungZurHochspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE911630335144;AZV S?dholstein;BHKW 4;25491;Hetlingen;Am Heuhafen;2;SchleswigHolstein;Deutschland;2012;;InBetrieb;Biomasse;;Ja;Ja;1,85;1,027;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;Schleswig-Holstein Netz GmbH (SNB990857029876);Nein;
Einzelanlage;SEE912257091857;MHKW M?llheizkraftwerk Frankfurt am Main GmbH;Turbine 7;60439;Frankfurt;Heddernheimer Landstra?e;157;Hessen;Deutschland;2005;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;47,5;46,5;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;NRM Netzdienste Rhein-Main GmbH (SNB921899277833);Nein;
Einzelanlage;SEE913609763316;Infraserv GmbH & Co. Wiesbaden KG;Generator 1 Erdgas;65203;Wiesbaden;Rheingaustra?e;;Hessen;Deutschland;1981;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;7,25;7;GegendruckmaschineohneEntnahme;Volleinspeisung;Mittelspannung;InfraServ GmbH & Co. Wiesbaden KG (SNB960884494671);Nein;
Einzelanlage;SEE907703023742;ArcelorMittal Eisenh?ttenstadt GmbH;IKW Batteriespeicher;15890;Eisenh?ttenstadt;Jugendstra?e;1;Brandenburg;Deutschland;2014;;InBetrieb;Batteriespeicher;;Nein;Nein;1,08;1,08;Batterie;TeileinspeisungEigenverbrauch;Hochspannung;E.DIS Netz GmbH (SNB941690671609);Nein;
Einzelanlage;SEE916115669219;Stadtwerke Kiel AG;K?stenkraftwerk K.I.E.L Motor 11;24149;Kiel;Hasselfelde;30;SchleswigHolstein;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;9,571;9,456;Verbrennungsmotor;Volleinspeisung;Hochspannung;SWKiel Netz GmbH (SNB973742186519);Nein;
Einzelanlage;SEE916609233650;RheinEnergie AG;DT Niehl 2 RheinEnergie;50735;K?ln;Am Molenkopf;3;NordrheinWestfalen;Deutschland;2005;;InBetrieb;Waerme;Dampf;Ja;Nein;147,001;147;KondensationsmaschinemitEntnahme;Volleinspeisung;Hochspannung;RheinNetz GmbH (SNB924477581384);Nein;
Einzelanlage;SEE901196452256;essity Operations Mainz-Kostheim GmbH;Turbine 4;55246;Mainz-Kostheim;Kommerzienrat-Disch-Br?cke;1;Hessen;Deutschland;1983;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;7,18;6,71;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;Mainzer Netze GmbH (SNB959523885956);Nein;
Einzelanlage;SEE906231810480;ADM Hamburg Aktiengesellschaft;GT1;21107;Hamburg;Nippoldstra?e;117;Hamburg;Deutschland;2013;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;5,688;5,538;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Mittelspannung;Hamburger Energienetze GmbH (SNB968295079586);Nein;
Einzelanlage;SEE906385906152;Firma Mercedes-Benz AG Werk 050 HPC NC50 LN-Nr.: 17319765;W065-Geb?ude 120 / BHKW Modul 04;40476;D?sseldorf;Rather Stra?e;51;NordrheinWestfalen;Deutschland;2012;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;4,3;4,2;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Mittelspannung;Netzgesellschaft D?sseldorf mbH (SNB933956506145);Nein;
Einzelanlage;SEE903779951637;eins energie in sachsen GmbH & Co. KG;Motor-Heizkraftwerk Chemnitz-S?d, Motor 5;09125;Chemnitz;S?dstra?e;1;Sachsen;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;12,9;12,7314;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Hochspannung;inetz GmbH (SNB916663914472);Nein;
Einzelanlage;SEE903937301069;SWK Stadtwerke Kaiserslautern Versorgungs-AG;HKW Karcherstra?e (GT4);67655;Kaiserslautern;Karcherstra?e;28;RheinlandPfalz;Deutschland;1993;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;5,1;5;GasturbinenmitAbhitzekessel;TeileinspeisungEigenverbrauch;Mittelspannung;SWK Stadtwerke Kaiserslautern Versorgungs-AG (SNB982394830312);Nein;
Einzelanlage;SEE903983424590;Statkraft Markets GmbH;Kraftwerk Knapsack II;50354;H?rth;Industriestra?e;300;NordrheinWestfalen;Deutschland;2013;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;450;430;GasturbinenmitAbhitzekessel;Volleinspeisung;Hoechstspannung;Amprion GmbH (SNB976890256486);Nein;
Einzelanlage;SEE904924198341;Fernw?rme Ulm GmbH;BioHKW II;89077;Ulm;Magirusstra?e;21;BadenWuerttemberg;Deutschland;2012;;InBetrieb;Biomasse;;Ja;Ja;5;4,442;KondensationsmaschinemitEntnahme;Volleinspeisung;Mittelspannung;Stadtwerke Ulm/Neu-Ulm Netze GmbH (SNB934068635945);Nein;
Einzelanlage;SEE912224455828;eins energie in sachsen GmbH & Co. KG;Motor-Heizkraftwerk Chemnitz-S?d, Motor 2;09125;Chemnitz;S?dstra?e;1;Sachsen;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;12,9;12,7314;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Hochspannung;inetz GmbH (SNB916663914472);Nein;
Einzelanlage;SEE915851127786;STAWAG ? Stadt- und St?dteregionswerke Aachen AG;BHKW Schwarzer Weg;52070;Aachen;Schwarzer Weg;19 b;NordrheinWestfalen;Deutschland;2023;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;22,535;21,505;Verbrennungsmotor;Volleinspeisung;Mittelspannung;Regionetz GmbH (SNB911641710114);Nein;
Einzelanlage;SEE900549498521;Stadtwerke Frankfurt (Oder) GmbH;HKW FFO GM4;15236;Frankfurt;Am Hohen Feld;4;Brandenburg;Deutschland;2022;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;10,423;10,3584;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;Netzgesellschaft Frankfurt (Oder) mbH (SNB954814647626);Nein;
Einzelanlage;SEE901440918859;Rheinkraftwerk Albbruck-Dogern AG;RADAG M1;79774;Albbruck;Kraftwerkstra?e;34;BadenWuerttemberg;Deutschland;1934;;InBetrieb;Wasser;;Nein;Ja;27,94;27,94;Laufwasseranlage;Volleinspeisung;Hochspannung;Amprion GmbH (SNB976890256486);Ja;27,94
Einzelanlage;SEE904165703137;BASF InfraService & Solutions Lausitz GmbH;GT1;01987;Schwarzheide;Schipkauer Stra?e;1;Brandenburg;Deutschland;1994;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;52;51,35;GasturbinenmitnachgeschalteterDampfturbine;Volleinspeisung;Mittelspannung;BASF InfraService & Solutions Lausitz GmbH (SNB914411628732);Nein;
Einzelanlage;SEE914414538991;BASF SE;GuD Mitte GT12;67063;Ludwigshafen;Carl-Bosch-Stra?e;38;RheinlandPfalz;Deutschland;2005;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;206;204;GasturbinenmitnachgeschalteterDampfturbine;TeileinspeisungEigenverbrauch;Hoechstspannung;Amprion GmbH (SNB976890256486);Nein;
Einzelanlage;SEE907524301289;OXEA Produktion GmbH & Co.KG;T/G 15;46147;Oberhausen;Otto-Roelen-Strasse;3;NordrheinWestfalen;Deutschland;1954;;InBetrieb;Mineraloelprodukte;AndereMineraloelprodukte;Ja;Nein;12;10;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;OXEA Services GmbH (SNB985069443664);Nein;
Einzelanlage;SEE910562646632;Biomethan Produktion Ottersberg GmbH;Motor 2;28870;Ottersberg;Am Damm;26;Niedersachsen;Deutschland;2007;;vorl?ufig Stillgelegt;Biomasse;;Ja;Ja;1,048;1,048;Verbrennungsmotor;Volleinspeisung;Mittelspannung;EWE NETZ GmbH (SNB951051725711);Nein;
Einzelanlage;SEE901516014812;Smurfit Westrock Herzberg Solid Board GmbH;Dampfturbine 1;37412;Herzberg;Andreasberger Stra?e;1;Niedersachsen;Deutschland;1955;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,84;2,64;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Harz Energie Netz GmbH (SNB984607096621);Nein;
Einzelanlage;SEE904076796426;Stadtwerke Kiel AG;K?stenkraftwerk K.I.E.L Motor 4;24149;Kiel;Hasselfelde;30;SchleswigHolstein;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;9,571;9,456;Verbrennungsmotor;Volleinspeisung;Hochspannung;SWKiel Netz GmbH (SNB973742186519);Nein;
Einzelanlage;SEE905939296770;Stadtwerke Kiel AG;K?stenkraftwerk K.I.E.L Motor 13;24149;Kiel;Hasselfelde;30;SchleswigHolstein;Deutschland;2018;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;9,571;9,456;Verbrennungsmotor;Volleinspeisung;Hochspannung;SWKiel Netz GmbH (SNB973742186519);Nein;
Einzelanlage;SEE908658611688;H&R Chemisch Pharmazeutische Spezialit?ten GmbH;HuR-IKW-G4;48499;Salzbergen;Neuenkirchener Stra?e;8;Niedersachsen;Deutschland;1977;;InBetrieb;Erdgas;None;Nein;Nein;6,035;6,02;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Westnetz GmbH (SNB921897286493);Nein;
Einzelanlage;SEE913795928759;SMAREG 9 GmbH & Co. KG;SMAREG9 Freiberg;09599;Freiberg;Knappenweg;1e;Sachsen;Deutschland;2024;;InBetrieb;Batteriespeicher;;Nein;Nein;20;20;Batterie;Volleinspeisung;Mittelspannung;Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931);Nein;
Einzelanlage;SEE914179988338;Enertec Hameln GmbH;Turbine 6;31789;Hameln;Heinrich-Schoormann-Weg;1;Niedersachsen;Deutschland;1970;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;4,25;2,55;GegendruckmaschineohneEntnahme;TeileinspeisungEigenverbrauch;Hochspannung;Westfalen Weser Netz GmbH (SNB929881052512);Nein;
Einzelanlage;SEE914845982691;TS Carry 3 GmbH;BESS Waltershausen;99880;Waltershausen;;;Thueringen;Deutschland;2025;;InBetrieb;Batteriespeicher;;Nein;Nein;10,35;10,35;Batterie;Volleinspeisung;Mittelspannung;TEN Th?ringer Energienetze GmbH & Co. KG (SNB970821959712);Nein;
Einzelanlage;SEE900348277440;J?ckering M?hlen- und N?hrmittelwerke GmbH;BHKW Hafen - Modul 4;59067;Hamm;Speicherstra?e;15;NordrheinWestfalen;Deutschland;2013;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;2,19;2,173;Verbrennungsmotor;TeileinspeisungEigenverbrauch;Mittelspannung;Energie- und Wasserversorgung Hamm GmbH (SNB912743424114);Nein;
Einzelanlage;SEE900364034072;EnBW Energie Baden-W?rttemberg AG;Heizkraftwerk Heilbronn FHT 1;74076;Heilbronn;Lichtenbergerstra?e;23;BadenWuerttemberg;Deutschland;2003;;InBetrieb;Erdgas;ErdgasErdoelgas;Ja;Nein;6,5;6,5;GegendruckmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Netze BW GmbH (SNB948311994307);Nein;
Einzelanlage;SEE900452778307;Salzgitter Flachstahl GmbH;GGT HO B;38239;Salzgitter;Eisenh?ttenstra?e;99;Niedersachsen;Deutschland;2012;;InBetrieb;Sonstige Energietraeger (nicht erneuerbar);;Nein;Nein;12;8,2;Sonstige;TeileinspeisungEigenverbrauch;Mittelspannung;TenneT TSO GmbH (SNB970033313272);Nein;
Einzelanlage;SEE900664653232;AMK-Abfallentsorgungsgesellschaft des M?rkischen Kreises mbH;Turbine 1;58636;Iserlohn;Giesestra?e;10;NordrheinWestfalen;Deutschland;1996;;InBetrieb;Abfall;AbfallHausmuellSiedlungsabfaelle;Ja;Nein;13;10,7;KondensationsmaschinemitEntnahme;TeileinspeisungEigenverbrauch;Mittelspannung;Stadtwerke Iserlohn GmbH (SNB913730249284);Nein;
Einzelanlage;SEE905843309764;RWE Supply & Trading GmbH;Batteriespeicher Emsland;49808;Lingen;Sch?ttorfer Stra?e;100;Niedersachsen;Deutschland;2022;;InBetrieb;Batteriespeicher;;Nein;Nein;45;45;Batterie;Volleinspeisung;Hochspannung;Westnetz GmbH (SNB921897286493);Nein;
