nr_MASTR,name,betreiber,energietraeger,brennstoff,leistung_brutto,leistung_netto,jahr_inbetriebnahme,einspeisung,plz,ort,strasse,hausnummer,bundesland,stillgelegt,jahr_stillegung,stillegung_type
SEE900600559253,RADAG Wehrkraftwerk,Rheinkraftwerk Albbruck-Dogern AG,Wasser,NA,28.45,24,2009,Volleinspeisung,79804,Dogern,Zollstraße,NA,BadenWuerttemberg,FALSE,NA,NA
SEE900838448145,MKW SAD Turbine 3,Zweckverband Müllverwertung Schwandorf,Abfall,AbfallHausmuellSiedlungsabfaelle,10,10,1982,Volleinspeisung,92421,Schwandorf,Alustraße,7,Bayern,FALSE,NA,NA
SEE901246020381,Gasmotor Bad Salzungen,TEAG Thüringer Energie AG,Erdgas,ErdgasErdoelgas,10.051,10.003,2018,Volleinspeisung,36433,Bad Salzungen,Langenfelder Straße,82,Thueringen,FALSE,NA,NA
SEE901752522324,Rheinhafen-Dampfkraftwerk RDK 8 Wasserturbine,EnBW Energie Baden-Württemberg AG,Wasser,NA,1.8,1.8,2014,TeileinspeisungEigenverbrauch,76189,Karlsruhe,Fettweisstraße,42,BadenWuerttemberg,FALSE,NA,NA
SEE905721866655,Fab Frechen,RWE Power AG,Braunkohle,Rohbraunkohlen,82,56,1962,TeileinspeisungEigenverbrauch,50226,Frechen,Ludwigstraße,NA,NordrheinWestfalen,FALSE,NA,NA
SEE915137840866,BHKW Hastedt Motor 05,swb Erzeugung AG & Co. KG,Erdgas,ErdgasErdoelgas,11.8096,11.6794,2022,Volleinspeisung,28207,Bremen,Hastedter Osterdeich,255,Bremen,FALSE,NA,NA
SEE900040609433,SSW-NT,R.D.M. Arnsberg GmbH,Steinkohle,Steinkohlen,7,6.14,1957,TeileinspeisungEigenverbrauch,59821,Arnsberg,Hellefelder Straße,51,NordrheinWestfalen,FALSE,NA,NA
SEE901022774309,illwerke vkw Lünerseewerk M4,EnBW Energie Baden-Württemberg AG,Pumpspeicher,NA,56,56,1957,Volleinspeisung,A-6774,Tschagguns,Latschaustrasse,NA,NA,FALSE,NA,NA
SEE901401382521,Tiefstack HKW 16bar-Turbine,Hamburger Energiewerke GmbH,Waerme,Waerme,5,4.9,2001,TeileinspeisungEigenverbrauch,22113,Hamburg,Andreas-Meyer-Straße,8,Hamburg,FALSE,NA,NA
SEE902114639810,Bitterfeld BHKW,envia THERM GmbH,Erdgas,ErdgasErdoelgas,2.478,2,2016,Volleinspeisung,06749,Bitterfeld-Wolfen,Parsevalstraße,3 B,SachsenAnhalt,FALSE,NA,NA
SEE909886576275,Weisweiler G VGT,RWE Power AG,Erdgas,ErdgasErdoelgas,202,200,2006,Volleinspeisung,52249,Eschweiler,Am Kraftwerk,17,NordrheinWestfalen,FALSE,NA,NA
SEE911630335144,BHKW 4,AZV Südholstein,Biomasse,NA,1.85,1.027,2012,TeileinspeisungEigenverbrauch,25491,Hetlingen,Am Heuhafen,2,SchleswigHolstein,FALSE,NA,NA
SEE912257091857,Turbine 7,MHKW Müllheizkraftwerk Frankfurt am Main GmbH,Abfall,AbfallHausmuellSiedlungsabfaelle,47.5,46.5,2005,TeileinspeisungEigenverbrauch,60439,Frankfurt,Heddernheimer Landstraße,157,Hessen,FALSE,NA,NA
SEE913609763316,Generator 1 Erdgas,Infraserv GmbH & Co. Wiesbaden KG,Erdgas,ErdgasErdoelgas,7.25,7,1981,Volleinspeisung,65203,Wiesbaden,Rheingaustraße,NA,Hessen,FALSE,NA,NA
SEE907703023742,IKW Batteriespeicher,ArcelorMittal Eisenhüttenstadt GmbH,Batteriespeicher,NA,1.08,1.08,2014,TeileinspeisungEigenverbrauch,15890,Eisenhüttenstadt,Jugendstraße,1,Brandenburg,FALSE,NA,NA
SEE916115669219,Küstenkraftwerk K.I.E.L Motor 11,Stadtwerke Kiel AG,Erdgas,ErdgasErdoelgas,9.571,9.456,2018,Volleinspeisung,24149,Kiel,Hasselfelde,30,SchleswigHolstein,FALSE,NA,NA
SEE916609233650,DT Niehl 2 RheinEnergie,RheinEnergie AG,Waerme,Dampf,147.001,147,2005,Volleinspeisung,50735,Köln,Am Molenkopf,3,NordrheinWestfalen,FALSE,NA,NA
SEE901196452256,Turbine 4,essity Operations Mainz-Kostheim GmbH,Erdgas,ErdgasErdoelgas,7.18,6.71,1983,TeileinspeisungEigenverbrauch,55246,Mainz-Kostheim,Kommerzienrat-Disch-Brücke,1,Hessen,FALSE,NA,NA
