plz,Paragraph,Revier
52062,§2,Rheinisches Braunkohlerevier
52064,§2,Rheinisches Braunkohlerevier
52066,§2,Rheinisches Braunkohlerevier
52068,§2,Rheinisches Braunkohlerevier
52070,§2,Rheinisches Braunkohlerevier
52072,§2,Rheinisches Braunkohlerevier
52074,§2,Rheinisches Braunkohlerevier
52076,§2,Rheinisches Braunkohlerevier
52078,§2,Rheinisches Braunkohlerevier
52080,§2,Rheinisches Braunkohlerevier
18211,§11/12,Steinkohlenbergbaugebiete
06313,§2,Mitteldeutsches Braunkohlerevier
06385,§2,Mitteldeutsches Braunkohlerevier
06386,§2,Mitteldeutsches Braunkohlerevier
52457,§2,Rheinisches Braunkohlerevier
06542,§2,Mitteldeutsches Braunkohlerevier
52477,§2,Rheinisches Braunkohlerevier
18233,§11/12,Steinkohlenbergbaugebiete
03229,§2,Lausitzer Braunkohlerevier
04600,§11/12,Steinkohlenbergbaugebiete
17179,§11/12,Steinkohlenbergbaugebiete
17166,§11/12,Steinkohlenbergbaugebiete
15913,§2,Lausitzer Braunkohlerevier
18233,§11/12,Steinkohlenbergbaugebiete
06647,§2,Mitteldeutsches Braunkohlerevier
01477,§2,Lausitzer Braunkohlerevier
06456,§2,Mitteldeutsches Braunkohlerevier
04886,§2,Mitteldeutsches Braunkohlerevier
06647,§2,Mitteldeutsches Braunkohlerevier
18209,§11/12,Steinkohlenbergbaugebiete
04849,§2,Mitteldeutsches Braunkohlerevier
06231,§2,Mitteldeutsches Braunkohlerevier
04651,§2,Mitteldeutsches Braunkohlerevier
04895,§2,Lausitzer Braunkohlerevier
04924,§2,Lausitzer Braunkohlerevier
04931,§2,Lausitzer Braunkohlerevier
53902,§2,Rheinisches Braunkohlerevier
02953,§2,Lausitzer Braunkohlerevier
52499,§2,Rheinisches Braunkohlerevier
38459,§11/12,Steinkohlenbergbaugebiete
06632,§2,Mitteldeutsches Braunkohlerevier
06268,§2,Mitteldeutsches Braunkohlerevier
18209,§11/12,Steinkohlenbergbaugebiete
18230,§11/12,Steinkohlenbergbaugebiete
18246,§11/12,Steinkohlenbergbaugebiete
02625,§2,Lausitzer Braunkohlerevier
50181,§2,Rheinisches Braunkohlerevier
17179,§11/12,Steinkohlenbergbaugebiete
02736,§2,Lausitzer Braunkohlerevier
38382,§11/12,Steinkohlenbergbaugebiete
04886,§2,Mitteldeutsches Braunkohlerevier
04874,§2,Mitteldeutsches Braunkohlerevier
04889,§2,Mitteldeutsches Braunkohlerevier
04683,§2,Mitteldeutsches Braunkohlerevier
18258,§11/12,Steinkohlenbergbaugebiete
06308,§2,Mitteldeutsches Braunkohlerevier
