nr_MASTR,nr_betreiber,energie_type,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,anzahl_einheiten,name_KW,nr_KW
SEE911677278312,ABR901195196069,Solareinheit,Zeithain BA5,Volleinspeisung,20996.01,01619,Meißen,Zeithain,NA,NA,Sachsen,13.332229,51.358546,2018,NA,FALSE,Freiflächensolaranlage,77395,NA,NA
SEE920883283591,ABR947136699565,Solareinheit,PVF Halberstadt Teilanlage 2,Volleinspeisung,14616.96,38820,Harz,Halberstadt,Friedrich-List-Straße,1,Sachsen-Anhalt,11.052,51.868,2012,NA,FALSE,Freiflächensolaranlage,60904,NA,NA
SEE973024157503,ABR925925175896,Solareinheit,Photovoltaikkraftwerk Groß Dölln 1 GmbH ＆ Co. KG,Volleinspeisung,15778.125,17268,Uckermark,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,191250,NA,NA
SEE945799653733,ABR991366578862,Solareinheit,Solarpark Weeze,Volleinspeisung,14074.37,47652,Kleve,Weeze,Flughafen-Ring,60,Nordrhein-Westfalen,6.151,51.605,2011,NA,FALSE,Freiflächensolaranlage,59840,NA,NA
SEE917243352219,ABR938250177251,Solareinheit,Photovoltaikkraftwerk Groß Dölln 7 GmbH ＆ Co. KG,Volleinspeisung,13209,17268,Oberhavel,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,155400,NA,NA
SEE979681487137,ABR957771881706,Solareinheit,Photovoltaikkraftwerk Groß Dölln 8 GmbH ＆ Co. KG,Volleinspeisung,13158,17268,Oberhavel,Templin,NA,NA,Brandenburg,13.533333,53.033333,2012,NA,FALSE,Freiflächensolaranlage,154800,NA,NA
SEE998919844580,ABR998292963120,Solareinheit,Nivelstein,Volleinspeisung,10455,52134,Städteregion Aachen,Herzogenrath,Nivelsteiner Weg,4,Nordrhein-Westfalen,6.079548,50.888206,2012,NA,FALSE,Freiflächensolaranlage,43562,NA,NA
SEE942112278789,ABR981156869577,Solareinheit,Neuhardenberg 2,Volleinspeisung,11353.72,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24,Brandenburg,14.221,52.61,2012,NA,FALSE,Freiflächensolaranlage,47334,NA,NA
SEE943718276971,ABR928888038703,Solareinheit,LHI GII1 PV Neuhardenberg 2054 GmbH ＆ Co. KG,Volleinspeisung,19688.64,15320,Märkisch-Oderland,Neuhardenberg,Oderbruchstraße,24,Brandenburg,14.237,52.6099,2012,NA,FALSE,Freiflächensolaranlage,82704,NA,NA
SEE905164264155,ABR904715295938,Solareinheit,LHI Solar Georgsdorf GmbH ＆ Co. KG,Volleinspeisung,24715.46,49828,Grafschaft Bentheim,Georgsdorf,NA,NA,Niedersachsen,7.080029,52.35,2011,NA,FALSE,Freiflächensolaranlage,106304,NA,NA
