nr_betreiber,name_betreiber,betrieb_rechtsform,betrieb_strasse,betrieb_hausnummer,betrieb_ort,betrieb_plz,betrieb_web,konzerngruppe
ABR930129817008,Windpark Kreuzstein GmbH ＆ Co. KG,GmbH & Co. KG,Niederhoner Straße,36,Eschwege,37269,www.windpark-kreuzstein.de,NA
ABR942217905054,ENGIE Deutschland GmbH,GmbH,Aachener Str.,1044 ,Köln,50858,engie-deutschland.de,ENGIE
ABR987101166937,Windpark Düste zwei UG (haftungsbeschränkt) ＆ Co. KG,UG (haftungsbeschränkt) & Co. KG,Kesselstraße,3,Düsseldorf,40221,aream.de,NA
ABR947413919072,Windpark Jalm Pool GmbH ＆ Co. KG,GmbH & Co. KG,Jalm,5,Sieverstedt,24885,www.dirkshof.de,NA
ABR998735752212,Iqony Battery System,GmbH,Rüttenscheider Str.,1,Essen,45128,www.steag.com,STEAG/Iqony
ABR978096504668,Iqony Energies GmbH,GmbH,St. Johanner Strasse,101 - 105,Saarbrücken,66115,https://energies.iqony.energy/de/,NA
ABR967895852209,Lausitz Energie Kraftwerke AG,AG,Leagplatz,1,Cottbus,03050,https://www.leag.de/,EPH
ABR933233078730,RheinEnergie AG,AG,Parkgürtel,24,Köln,50823,http://www.rheinenergie.com,NA
ABR915068942295,EnBW Energie Baden-Württemberg AG,AG,Durlacher Allee,93,Karlsruhe,76131,NA,EnBW
ABR976049890431,STAWAG Energie GmbH,GmbH,Lombardenstraße,12 /22,Aachen,52070,NA,NA
ABR932682301871,BayWa r.e. Energieprojekte GmbH,GmbH,Arabellastraße,4,München,81925,www.baywa-re.de,NA
ABR940188616252,WUN Pellets GmbH,GmbH,Am Energiepark,3,Wunsiedel,95632,www.s-w-w.com,NA
ABR969596914101,Merck KGaA,KGaA,Frankfurter Straße,250,Darmstadt,64293,www.merckgroup.com,NA
ABR923759425026,WEA Sögel Süd I GmbH ＆ Co. KG,GmbH & Co. KG,Nessestraße,24,Leer,26789,https://www.enercity-erneuerbare.de/,NA
ABR955446064188,Gunvor Raffinerie Ingolstadt GmbH,GmbH,Essostraße,1 ,Kösching,85092,www.gunvor-raffinerie-ingolstadt.de,NA
ABR930370675969,Stadtwerke Emden GmbH,GmbH,Martin-Faber-Straße,11,Emden,26725,NA,NA
ABR955469853677,Energiepark Simonsberg,GmbH & Co. KG,Querweg,4,Simonsberg,25813,NA,NA
ABR958981747912,Windpark Münsterwald GmbH ＆ Co. KG,GmbH & Co. KG,Lombardenstraße,12-22,Aachen,52070,NA,NA
