ort,landkreis,plz,Bundesland,Paragraph,Revier
Aachen,Städteregion Aachen,52062,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52064,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52066,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52068,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52070,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52072,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52074,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52076,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52078,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Aachen,Städteregion Aachen,52080,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Admannshagen-Bargeshagen,Landkreis Rostock,18211,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Ahlsdorf,Landkreis Mansfeld-Südharz,06313,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Aken (Elbe),Landkreis Anhalt-Bitterfeld,06385,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Aken (Elbe),Landkreis Anhalt-Bitterfeld,06386,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Aldenhoven,Kreis Düren,52457,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Allstedt,Landkreis Mansfeld-Südharz,06542,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Alsdorf,Städteregion Aachen,52477,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Alt Bukow,Landkreis Rostock,18233,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Altdöbern,Landkreis Oberspreewald-Lausitz,03229,Brandenburg,§2,Lausitzer Braunkohlerevier
Altenburg,Landkreis Altenburger Land,04600,Thüringen,§11/12,Steinkohlenbergbaugebiete
Altkalen,Landkreis Rostock,17179,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Alt Sührkow,Landkreis Rostock,17166,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Alt Zauche-Wußwerk,Landkreis Dahme-Spreewald,15913,Brandenburg,§2,Lausitzer Braunkohlerevier
Am Salzhaff,Landkreis Rostock,18233,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
An der Poststraße,Burgenlandkreis,06647,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Arnsdorf,Landkreis Bautzen,01477,Sachsen,§2,Lausitzer Braunkohlerevier
Arnstein,Landkreis Mansfeld-Südharz,06456,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Arzberg,Landkreis Nordsachsen,04886,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bad Bibra,Burgenlandkreis,06647,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bad Doberan,Landkreis Rostock,18209,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
Bad Düben,Landkreis Nordsachsen,04849,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bad Dürrenberg,Saalekreis,06231,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
Bad Lausick,Landkreis Leipzig,04651,Sachsen,§2,Mitteldeutsches Braunkohlerevier
Bad Liebenwerda,Landkreis Elbe-Elster,04895,Brandenburg,§2,Lausitzer Braunkohlerevier
Bad Liebenwerda,Landkreis Elbe-Elster,04924,Brandenburg,§2,Lausitzer Braunkohlerevier
Bad Liebenwerda,Landkreis Elbe-Elster,04931,Brandenburg,§2,Lausitzer Braunkohlerevier
Bad Münstereifel,Kreis Euskirchen,53902,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
Bad Muskau - Mužakow,Landkreis Görlitz,02953,Sachsen,§2,Lausitzer Braunkohlerevier
