nr_MASTR,name,betreiber,energietraeger,leistung_brutto,leistung_netto,jahr_inbetriebnahme,plz,stillgelegt,jahr_stillegung,stillegung_type,ort,landkreis,Bundesland,Paragraph,Revier
SEE905721866655,Fab Frechen,RWE Power AG,Braunkohle,82,56,1962,50226,FALSE,NA,NA,Frechen,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE902114639810,Bitterfeld BHKW,envia THERM GmbH,Erdgas,2.478,2,2016,06749,FALSE,NA,NA,Bitterfeld-Wolfen,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE909886576275,Weisweiler G VGT,RWE Power AG,Erdgas,202,200,2006,52249,FALSE,NA,NA,Eschweiler,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE903983424590,Kraftwerk Knapsack II,Statkraft Markets GmbH,Erdgas,450,430,2013,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE915851127786,BHKW Schwarzer Weg,STAWAG – Stadt- und Städteregionswerke Aachen AG,Erdgas,22.535,21.505,2023,52070,FALSE,NA,NA,Aachen,Städteregion Aachen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE904165703137,GT1,BASF InfraService & Solutions Lausitz GmbH,Erdgas,52,51.35,1994,01987,FALSE,NA,NA,Schwarzheide,Landkreis Oberspreewald-Lausitz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE900348277440,BHKW Hafen - Modul 4,Jäckering Mühlen- und Nährmittelwerke GmbH,Erdgas,2.19,2.173,2013,59067,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE906830618081,Fab Fortuna,RWE Power AG,Braunkohle,30,15,1948,50129,FALSE,NA,NA,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE908746529123,GuD-Block 3,Stadtwerke Rostock Aktiengesellschaft,Erdgas,37,36,1996,18069,FALSE,NA,NA,Lambrechtshagen,Landkreis Rostock,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
SEE917689107459,BESS Merseburg,Münch visiontec GmbH & Co. KG,Batteriespeicher,6.67,6.67,2023,06217,FALSE,NA,NA,Merseburg,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE906215229154,MVA EEW Helmstedt,EEW Energy from Waste Helmstedt GmbH,Abfall,42.3,37.5,2014,38372,FALSE,NA,NA,Helmstedt,Landkreis Helmstedt,Niedersachsen,§11/12,Steinkohlenbergbaugebiete
SEE916532936024,Batteriespeicher Westfalen 1,RWE Generation SE,Batteriespeicher,174.24,140,2024,59071,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE908089235248,Dormagen GT2,RWE Generation SE,Erdgas,189,184,2000,41540,FALSE,NA,NA,Dormagen,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE906681939748,BHKW Hafen - Modul 1,Jäckering Mühlen- und Nährmittelwerke GmbH,Erdgas,2.19,2.173,2013,59067,FALSE,NA,NA,Hamm,Hamm,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE914128531905,Euskirchen Generator 2,Pfeifer & Langen GmbH & Co. KG,Erdgas,6.6,6.232,1981,53879,FALSE,NA,NA,Euskirchen,Kreis Euskirchen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE912020488365,Ruhrort 2,thyssenkrupp Steel Europe AG,Sonstige Energietraeger (nicht erneuerbar),64,59.6,1955,47166,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE911129038174,BHKW-Anlage,Stadtwerke Cottbus GmbH,Erdgas,53.916,53.481,2022,03052,FALSE,NA,NA,Cottbus - Chóśebuz,Cottbus - Chóśebuz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE905270326723,Großkayna GT3,envia THERM GmbH,Mineraloelprodukte,45.625,45.625,1994,06242,FALSE,NA,NA,Braunsbedra,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE914857304191,Dormagen GT1,RWE Generation SE,Erdgas,189,184,2000,41540,FALSE,NA,NA,Dormagen,Rhein-Kreis Neuss,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE911454349471,Batteriespeicher Garzweiler,RWE Battery Solutions GmbH,Batteriespeicher,6.5,6.5,2023,50181,FALSE,NA,NA,Bedburg,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE918609979057,Heizkraftwerk Leipzig Süd GTA 9A,Stadtwerke Leipzig GmbH,Erdgas,66.766,66.321,2022,04279,FALSE,NA,NA,Leipzig,Leipzig,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE912681231416,Anlage 2009,Mercer Torgau GmbH & Co. KG,Biomasse,2.59,2.578,2009,04860,FALSE,NA,NA,Dreiheide,Landkreis Nordsachsen,Sachsen,§2,Mitteldeutsches Braunkohlerevier
SEE905930139120,Big Battery Lausitz,Lausitz Energie Kraftwerke AG,Batteriespeicher,66,66,2020,03130,FALSE,NA,NA,Felixsee,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE918143230942,Walsum 10,STEAG Power GmbH,Steinkohle,790,725,2013,47179,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE921905907730,Niederaußem G,RWE Power AG,Braunkohle,668,628,1974,50129,FALSE,2033,KVBG,Bergheim,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE929516405690,BMK Lünen,BMK Biomassekraftwerk Lünen GmbH,Biomasse,20.5,18.5,2006,44536,FALSE,NA,NA,Lünen,Kreis Unna,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE930277153294,Mitte BHKW 2 Modul 7,Stadtwerke Duisburg AG,Erdgas,4.5,4.472,2023,47053,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE915885358156,HKW III  Block B,Stadtwerke Duisburg AG,Erdgas,75.3,75.2,2004,47249,FALSE,NA,NA,Duisburg,Duisburg,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE918705951896,GT2,BASF InfraService & Solutions Lausitz GmbH,Erdgas,40.94,40.428,1994,01987,FALSE,NA,NA,Schwarzheide,Landkreis Oberspreewald-Lausitz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE905192478234,Knapsack I - Gasturbine GT12,Knapsack Power GmbH & Co. KG,Erdgas,295,295,2007,50354,FALSE,NA,NA,Hürth,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE906326984744,Weiher 3,STEAG Power GmbH,Steinkohle,724,655.6,1976,66287,FALSE,NA,reserve,Quierschied,Regionalverband Saarbrücken,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE916662059105,GuD-Block 1,Stadtwerke Rostock Aktiengesellschaft,Erdgas,37,36,1996,18069,FALSE,NA,NA,Lambrechtshagen,Landkreis Rostock,Mecklenburg-Vorpommern,§11/12,Steinkohlenbergbaugebiete
SEE913203719740,GKW,AG der Dillinger Hüttenwerke,Sonstige Energietraeger (nicht erneuerbar),95.558,89.337,2009,66763,FALSE,NA,NA,Dillingen/Saar,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE902932530221,Second Foundation BESS Oberröblingen,BESS Oberröblingen GmbH & Co. KG,Batteriespeicher,13.8,13.8,2025,06526,FALSE,NA,NA,Sangerhausen,Landkreis Mansfeld-Südharz,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE922579581844,GT2,Smurfit Westrock Zülpich Paper GmbH,Erdgas,5.9895,4.946,1996,53909,FALSE,NA,NA,Zülpich,Kreis Euskirchen,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE924053403383,"Shell Energy and Chemicals Park, Kraftwerk Wesseling, Turbine 5",Shell Deutschland GmbH,Mineraloelprodukte,34.3,34.3,1979,50389,FALSE,NA,NA,Wesseling,Rhein-Erft-Kreis,Nordrhein-Westfalen,§2,Rheinisches Braunkohlerevier
SEE907389779292,Boxberg Block Q,Lausitz Energie Kraftwerke AG,Braunkohle,893,840,2000,02943,FALSE,2038,KVBG,Boxberg/O.L. - Hamor,Landkreis Görlitz,Sachsen,§2,Lausitzer Braunkohlerevier
SEE912160334607,Leuna GT2,TotalEnergies Raffinerie Mitteldeutschland GmbH,Erdgas,37.6,37,1994,06237,FALSE,NA,NA,Leuna,Saalekreis,Sachsen-Anhalt,§2,Mitteldeutsches Braunkohlerevier
SEE928761575349,EEW Großräschen GmbH,EEW Energy from Waste Großräschen GmbH,Abfall,25,25,2008,01983,FALSE,NA,NA,Großräschen,Landkreis Oberspreewald-Lausitz,Brandenburg,§2,Lausitzer Braunkohlerevier
SEE933236950972,Scholven C,Uniper Kraftwerke GmbH,Steinkohle,370,345,1969,45896,FALSE,NA,other,Gelsenkirchen,Gelsenkirchen,Nordrhein-Westfalen,§11/12,Steinkohlenbergbaugebiete
SEE904017020009,ET HO5,ROGESA Roheisengesellschaft Saar mbH,Sonstige Energietraeger (nicht erneuerbar),9.52,9.52,1984,66763,FALSE,NA,NA,Dillingen/Saar,Landkreis Saarlouis,Saarland,§11/12,Steinkohlenbergbaugebiete
SEE923943268279,Kraftwerk Jänschwalde Block D,Lausitz Energie Kraftwerke AG,Braunkohle,535,500,1985,03185,FALSE,NA,NA,Drachhausen,Landkreis Spree-Neiße,Brandenburg,§2,Lausitzer Braunkohlerevier
