nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,name_KW,nr_KW,energietraeger
SEE968950464368,NA,Verbrennung,SEE968950464368,KW Hastedt Block 15,Teileinspeisung (einschließlich Eigenverbrauch),130000,28207,Bremen,Bremen,Hastedter Osterdeich,255,Bremen,8.873,53.06,1989,2024,TRUE,KW Hastedt,KWK949752343204,Steinkohlen
SEE941568476039,ABR984625094685,Verbrennung,SEE941568476039,Turbosatz 1,NA,56000,50735,Köln,Köln,Geestemünder Str.,23,Nordrhein-Westfalen,6.951,51.004,1998,NA,FALSE,RMVA Köln,KWK904784130994,"Abfall (Hausmüll, Siedl.abf.)"
SEE942956157011,ABR984625094685,Verbrennung,NA,Turbosatz 2,Teileinspeisung (einschließlich Eigenverbrauch),31760,50735,Köln,Köln,Geestemünder Str.,23,Nordrhein-Westfalen,6.951,51.004,2017,NA,FALSE,Turbosatz 2,NA,NA
SEE954086855965,ABR939623529011,Verbrennung,"SEE954086855965, SEE995943794058, SEE906257837416",1MKA,Teileinspeisung (einschließlich Eigenverbrauch),117000,16303,Uckermark,Schwedt,Passower Chaussee,111,Brandenburg,14.231664,53.092839,1998,NA,FALSE,IKS,KWK900687803676,Andere Mineralölprodukte
SEE907389779292,ABR967895852209,Verbrennung,"SEE907389779292, SEE985842749525, SEE908125004449",Boxberg Block Q,Teileinspeisung (einschließlich Eigenverbrauch),893000,02943,Görlitz,Boxberg,Am Kraftwerk,1,Sachsen,14.567034,51.419203,2000,NA,FALSE,Boxberg,KWK949609166567,Rohbraunkohlen
SEE995943794058,ABR939623529011,Verbrennung,"SEE954086855965, SEE995943794058, SEE906257837416",2MKA,Teileinspeisung (einschließlich Eigenverbrauch),117000,16303,Uckermark,Schwedt,Passower Chaussee,111,Brandenburg,14.23483,53.098691,1998,NA,FALSE,IKS,KWK900687803676,Andere Mineralölprodukte
SEE951648072822,ABR951084327968,Verbrennung,SEE951648072822,ZASt,Teileinspeisung (einschließlich Eigenverbrauch),13700,98544,Schmalkalden-Meiningen,Zella-Mehlis,Am Schießstand,15,Thüringen,10.688,50.638,2007,NA,FALSE,RABA,KWK913593197296,"Abfall (Hausmüll, Siedl.abf.)"
SEE932127408097,ABR997638965736,Verbrennung,SEE932127408097,Generator Zorbau,Teileinspeisung (einschließlich Eigenverbrauch),29680,06686,Burgenlandkreis,Lützen,Bayerische Straße,20,Sachsen-Anhalt,12.018939,51.18179,2005,NA,FALSE,Thermische Abfallverwertungsanlage Zorbau,KWK959344327550,"Abfall (Hausmüll, Siedl.abf.)"
SEE982512881400,ABR998231634548,Verbrennung,SEE982512881400,"HKW, Dampfturbine 2",Teileinspeisung (einschließlich Eigenverbrauch),20900,86152,Augsburg,Augsburg,Franziskanergasse,9,Bayern,10.927486,48.363869,1976,NA,FALSE,Heizkraftwerk Franziskanergasse,KWK967774602154,"Erdgas, Erdölgas"
SEE918373264410,ABR998231634548,Verbrennung,SEE918373264410,BHKW GT-Ost,Teileinspeisung (einschließlich Eigenverbrauch),31000,86167,Augsburg,Augsburg,Beim Grenzgraben,10,Bayern,10.93575,48.4009,2004,NA,FALSE,BHKW GT-Ost,KWK999188080211,"Erdgas, Erdölgas"
SEE978389589440,NA,Verbrennung,SEE978389589440,Walsum 9,Teileinspeisung (einschließlich Eigenverbrauch),410000,47179,Duisburg,Duisburg,Dr.-Wilhelm-Roelen-Str.,129,Nordrhein-Westfalen,6.716699,51.528149,1988,2021,TRUE,Walsum,KWK951742869786,Steinkohlen
SEE961620762023,ABR969596914101,Verbrennung,SEE961620762023,DA_HKW_01,Teileinspeisung (einschließlich Eigenverbrauch),10300,64293,Darmstadt,Darmstadt,Frankfurter Straße,250,Hessen,8.654,49.898,1999,NA,FALSE,DA_HKW_01,KWK954921423069,"Erdgas, Erdölgas"
SEE964745752825,ABR966662532191,Verbrennung,SEE964745752825,HKW III  Block A,Teileinspeisung (einschließlich Eigenverbrauch),35600,47249,Duisburg,Duisburg,Wanheimer Str.,439,Nordrhein-Westfalen,6.748049,51.39025,1974,NA,FALSE,NA,KWK950271843519,"Erdgas, Erdölgas"
SEE923082939436,NA,Verbrennung,SEE923082939436,"HKW Chemnitz Nord II, Block B",Teileinspeisung (einschließlich Eigenverbrauch),67000,09114,Chemnitz,Chemnitz,Dammweg,10,Sachsen,12.923188,50.856892,1988,2023,TRUE,HKW Chemnitz Nord II,KWK931064594016,Rohbraunkohlen
SEE907524301289,ABR967789784395,Verbrennung,SEE907524301289,T/G 15,Teileinspeisung (einschließlich Eigenverbrauch),12000,46147,Oberhausen,Oberhausen,Otto-Roelen-Strasse,3,Nordrhein-Westfalen,6.798,51.525,1954,NA,FALSE,Kraftwerk Werk Ruhrchemie,KWK910297976318,Andere Mineralölprodukte
SEE921785427038,ABR967789784395,Verbrennung,NA,T/G 6,Teileinspeisung (einschließlich Eigenverbrauch),21500,46147,Oberhausen,Oberhausen,Otto-Roelen-Strasse,3,Nordrhein-Westfalen,6.798,51.525,1951,NA,FALSE,Kraftwerk Werk Ruhrchemie,NA,Andere Mineralölprodukte
SEE942845579245,ABR990282855972,Verbrennung,SEE942845579245,KWK Hiltrop,Volleinspeisung,45000,44805,Bochum,Bochum,In der Grume,5,Nordrhein-Westfalen,7.25,51.508,1975,NA,FALSE,HKW Hiltrop,KWK908261344942,"Erdgas, Erdölgas"
SEE907223904750,NA,Verbrennung,"SEE907223904750, SEE901789931854, SEE985585573104",SWM HKW Sued GuD1 DT1,Teileinspeisung (einschließlich Eigenverbrauch),82700,81371,München,München,Schäftlarnstraße,15,Bayern,11.530264,48.096649,1980,2023,TRUE,SWM HKW Sued GuD1,KWK995778931840,"Erdgas, Erdölgas"
SEE901789931854,ABR948070381080,Verbrennung,"SEE907223904750, SEE901789931854, SEE985585573104",SWM HKW Sued GuD1 GT2,Teileinspeisung (einschließlich Eigenverbrauch),98900,81371,München,München,Schäftlarnstraße,15,Bayern,11.5555,48.114,1980,NA,FALSE,SWM HKW Sued GuD1,KWK995778931840,"Erdgas, Erdölgas"
SEE942366584926,ABR948070381080,Verbrennung,SEE942366584926,SWM HKW Nord 1 T10,Teileinspeisung (einschließlich Eigenverbrauch),22050,85774,München,Unterföhring,Münchner Straße,22,Bayern,11.64,48.18,1991,NA,FALSE,SWM HKW Nord 1,KWK920844507568,"Abfall (Hausmüll, Siedl.abf.)"
SEE945217244789,ABR948070381080,Verbrennung,"SEE945217244789, SEE920560912882",SWM HKW Freimann GT11,Teileinspeisung (einschließlich Eigenverbrauch),53151,80807,München,München,Frankfurter Ring,181,Bayern,11.596,48.189,2021,NA,FALSE,SWM HKW Freimann,KWK916599402302,"Erdgas, Erdölgas"
SEE917096062495,ABR908736090923,Verbrennung,SEE917096062495,KWK Anlage Großenkneten,Teileinspeisung (einschließlich Eigenverbrauch),30496,26197,Oldenburg,Großenkneten,Vor dem Esch,12,Niedersachsen,8.225,52.956,2014,NA,FALSE,KWK Anlage Großenkneten,KWK934988292334,"Erdgas, Erdölgas"
SEE915885358156,ABR966662532191,Verbrennung,"SEE915885358156, SEE922855765289, SEE916495905242",HKW III  Block B,Volleinspeisung,75300,47249,Duisburg,Duisburg,Wanheimer Str.,439,Nordrhein-Westfalen,6.747913,51.390069,2004,NA,FALSE,NA,KWK942852697482,"Erdgas, Erdölgas"
SEE922855765289,ABR966662532191,Verbrennung,"SEE915885358156, SEE922855765289, SEE916495905242",HKW III  Block B,Volleinspeisung,75300,47249,Duisburg,Duisburg,Wanheimer Str.,439,Nordrhein-Westfalen,6.747734,51.389863,2004,NA,FALSE,NA,KWK942852697482,"Erdgas, Erdölgas"
SEE916495905242,ABR966662532191,Verbrennung,"SEE915885358156, SEE922855765289, SEE916495905242",HKW III  Block B,Volleinspeisung,88300,47249,Duisburg,Duisburg,Wanheimer Str.,439,Nordrhein-Westfalen,6.74809,51.390483,2005,NA,FALSE,NA,KWK942852697482,Dampf (zum Beispiel Prozesswärme)
SEE965660903200,ABR916198639970,Verbrennung,"SEE965660903200, SEE985036646654, SEE930647914081, SEE962395118756, SEE924562445072, SEE963438570067, SEE939899660715, SEE923793340132",Gasmotoren-Heizkraftwerk Dresden-Reick - Aggregat I,Volleinspeisung,11760,01277,Dresden,Dresden,Liebstädter Straße,1,Sachsen,13.7845,51.0255,2022,NA,FALSE,Gasmotoren-Heizkraftwerk Dresden-Reick,KWK989610056372,"Erdgas, Erdölgas"
SEE990065849372,ABR926212047155,Verbrennung,"SEE990065849372, SEE971796321603",TS I,Teileinspeisung (einschließlich Eigenverbrauch),11500,97076,Würzburg,Würzburg,Gattingerstraße,31,Bayern,9.994387,49.793019,1984,NA,FALSE,Müllheizkraftwerk Würzburg,KWK915694127066,"Abfall (Hausmüll, Siedl.abf.)"
SEE971796321603,ABR926212047155,Verbrennung,"SEE990065849372, SEE971796321603",TS II,Teileinspeisung (einschließlich Eigenverbrauch),16000,97076,Würzburg,Würzburg,Gattingerstraße,31,Bayern,9.994387,49.793019,1998,NA,FALSE,Müllheizkraftwerk Würzburg,KWK915694127066,"Abfall (Hausmüll, Siedl.abf.)"
