nr_MASTR,nr_betreiber,energie_type,verknuepfte_einheiten,name,einspeisung,leistung_brutto,plz,landkreis,ort,strasse,hausnummer,bundesland,laenge,breite,jahr_inbetriebnahme,jahr_stillgelegt,stillgelegt,energietraeger,name_KW,nr_KW
SEE960951557490,NA,Stromspeichereinheit,SEE960951557490,Speicher,NA,2500,25335,Pinneberg,Bokholt-Hanredder,Bahnhofstraße,13,Schleswig-Holstein,9.735,53.79,1923,2019,TRUE,Batterie,NA,NA
SEE938534551104,ABR989859343004,Stromspeichereinheit,NA,Bocholt Speicher,Teileinspeisung (einschließlich Eigenverbrauch),1125,46395,Borken,Bocholt,Alfred-Flender-Straße,77,Nordrhein-Westfalen,6.608,51.823,2016,NA,FALSE,Batterie,NA,NA
SEE972894381872,NA,Stromspeichereinheit,SEE972894381872,Homert 01,Teileinspeisung (einschließlich Eigenverbrauch),2500,59889,Hochsauerlandkreis,Eslohe,NA,NA,Nordrhein-Westfalen,NA,NA,2014,2019,TRUE,Batterie,NA,NA
SEE911690715313,ABR974239102593,Stromspeichereinheit,NA,Batteriespeicher Wernau,Volleinspeisung,2600,73249,Esslingen,Wernau,Junkersstraße,20,Baden-Württemberg,9.421,48.688,2017,NA,FALSE,Batterie,NA,NA
SEE966505165425,ABR974239102593,Stromspeichereinheit,NA,Batteriespeicher Heilbronn,Volleinspeisung,5200,74076,Heilbronn,Heilbronn,Lichtenbergerstraße,23,Baden-Württemberg,9.209,49.173,2018,NA,FALSE,Batterie,NA,NA
SEE943208281096,ABR921440481122,Stromspeichereinheit,NA,Rain BS1,Teileinspeisung (einschließlich Eigenverbrauch),1500,86641,Donau-Ries,Rain,Kraftwerkstraße,21,Bayern,10.897772,48.692522,2019,NA,FALSE,Batterie,NA,NA
SEE953508633730,ABR999401230768,Stromspeichereinheit,NA,SWM Leitzach 2 M21,Teileinspeisung (einschließlich Eigenverbrauch),22000,83620,Rosenheim,Feldkirchen-Westerham,Leitzachwerkstraße,50,Bayern,11.871,47.874,1984,NA,FALSE,Pumpspeicher,NA,NA
SEE913862454280,ABR901047920507,Stromspeichereinheit,NA,Hybridregelkraftwerk,Volleinspeisung,18000,28207,Bremen,Bremen,Hastedter Osterdeich,255,Bremen,8.874096,53.058934,2019,NA,FALSE,Batterie,NA,NA
SEE958562019667,NA,Stromspeichereinheit,NA,FutureEnergySolution,Teileinspeisung (einschließlich Eigenverbrauch),1400,21129,Hamburg,Hamburg,Vollhöfner Weiden,18,Hamburg,9.894684,53.506271,2019,2022,TRUE,Batterie,NA,NA
SEE949701129095,ABR907152889371,Stromspeichereinheit,NA,T 14 PSKW Kirchentellinsfurt,Volleinspeisung,1300,72138,Tübingen,Kirchentellinsfurt,Tübinger Straße,41,Baden-Württemberg,9.138454,48.545156,1926,NA,FALSE,Pumpspeicher,NA,NA
SEE907703023742,ABR908281121257,Stromspeichereinheit,NA,IKW Batteriespeicher,Teileinspeisung (einschließlich Eigenverbrauch),1080,15890,Oder-Spree,Eisenhüttenstadt,Jugendstraße,1,Brandenburg,14.632419,52.163396,2014,NA,FALSE,Batterie,NA,NA
SEE985288982944,ABR917550078642,Stromspeichereinheit,NA,ESS_EUREF-CAMPUS,Volleinspeisung,1250,10829,Berlin,Berlin,EUREF-Campus,9,Berlin,13.356239,52.481808,2019,NA,FALSE,Batterie,NA,NA
SEE995541369856,ABR903690099142,Stromspeichereinheit,NA,Batteriespeicher Gödenroth,Volleinspeisung,1250,56290,Rhein-Hunsrück-Kreis,Gödenroth,An der Trift,NA,Rheinland-Pfalz,7.498412,50.086232,2018,NA,FALSE,Batterie,NA,NA
SEE926367113644,ABR915068942295,Stromspeichereinheit,NA,Obervermuntwerk II Maschine 1 Turbine,Volleinspeisung,190000,A-6794,NA,Partenen,Silvretta Hochalpenstrasse,NA,NA,10.05995,46.93529,2018,NA,FALSE,Pumpspeicher,NA,NA
SEE905032397701,ABR977072703385,Stromspeichereinheit,NA,BAT WÖL,Volleinspeisung,4800,01665,Meißen,Diera-Zehren,NA,NA,Sachsen,13.343956,51.214239,2018,NA,FALSE,Batterie,NA,NA
SEE984944424651,ABR915068942295,Stromspeichereinheit,NA,Obervermuntwerk II Maschine 2 Turbine,Volleinspeisung,190000,A-6794,NA,Partenen,Silvretta Hochalpenstrasse,NA,NA,10.05995,46.93529,2018,NA,FALSE,Pumpspeicher,NA,NA
SEE973585970962,ABR977223013417,Stromspeichereinheit,NA,Batteriespeicher W2G,Volleinspeisung,2000,25541,Dithmarschen,Brunsbüttel,NA,NA,Schleswig-Holstein,9.19409,53.910335,2017,NA,FALSE,Batterie,NA,NA
SEE911836897996,ABR982105583193,Stromspeichereinheit,NA,Batteriespeicher Herdecke,Volleinspeisung,6250,58313,Ennepe-Ruhr-Kreis,Herdecke,Im Schiffwinkel,43,Nordrhein-Westfalen,7.45422,51.41129,2017,NA,FALSE,Batterie,NA,NA
