"","nr_betreiber","energie_type","verknuepfte_einheiten","anzahl_einheiten","leistung_brutto","name_KW","energietraeger","stillgelegt","jahr_inbetriebnahme","nr_KW"
"1","ABR962424139622","Verbrennung","SEE902238950303",1,10800,"---","Erdgas, Erdölgas",0,1958,"KWK936060116484"
"2","ABR906206974056","Verbrennung","SEE920864082298",1,47971,"01 Std GT1","Erdgas, Erdölgas",0,2014,"KWK918790135164"
"3","ABR906206974056","Verbrennung","SEE926897163430",1,47645,"01 Std GT2","Erdgas, Erdölgas",0,2014,"KWK918790135164"
"4","ABR906206974056","Verbrennung","SEE964077382691",1,47352,"01 Std GT3","Erdgas, Erdölgas",0,2014,"KWK918790135164"
"5","ABR906206974056","Verbrennung","SEE970688261195",1,16900,"01 Std ST1","Dampf (zum Beispiel Prozesswärme)",0,1975,"KWK918790135164"
"6","ABR906206974056","Verbrennung","SEE954183997452",1,18732,"01 Std ST2","Dampf (zum Beispiel Prozesswärme)",0,2014,"KWK918790135164"
"7","ABR969565067944","Verbrennung","SEE960317505882",1,23200,"1","Heizöl, leicht",0,1982,NA
"8","ABR967988325672","Verbrennung","SEE917943562765, SEE915289541482, SEE994429144455, SEE918810715130, SEE900931819460",5,371000,"11WD2FFW-000203E","Steinkohlen",0,1990,"KWK943123692861"
"9","ABR967988325672","Verbrennung","SEE971867565370",1,71000,"11WD2NDR-000204Q","Erdgas, Erdölgas",0,2005,"KWK922047055426"
"10","ABR969565067944","Verbrennung","SEE905937514456",1,23200,"4","Heizöl, leicht",0,1982,NA
"11","ABR905104647567","Verbrennung","SEE956943312185",1,45750,"A718 KT9","Dampf (zum Beispiel Prozesswärme)",0,2008,NA
"12",NA,"Verbrennung","SEE923480721565",1,48000,"A855 GT1","Erdgas, Erdölgas",1,1992,"KWK910315184572"
"13","ABR994305088439","Verbrennung","SEE957509710094",1,14000,"AHKW-Neunkirchen","Abfall (Hausmüll, Siedl.abf.)",0,1977,"KWK928853742802"
"14","ABR994305088439","Verbrennung","SEE974059990561",1,13500,"AHKW-Neunkirchen Turbine 5","Abfall (Hausmüll, Siedl.abf.)",0,2023,"KWK928853742802"
"15","ABR981176702168","Verbrennung","SEE994551453975, SEE945602121718",2,40000,"AWG Abfallwirtschaftsgesellschaft mbH Wuppertal","Abfall (Hausmüll, Siedl.abf.)",0,1976,"KWK961736706188"
"16","ABR957659462591","Verbrennung","SEE971995083203",1,10500,"BHKW Braunschweig","Erdgas, Erdölgas",0,2014,"KWK934144318953"
"17","ABR998231634548","Verbrennung","SEE918373264410",1,31000,"BHKW GT-Ost","Erdgas, Erdölgas",0,2004,"KWK999188080211"
"18","ABR903834398421","Verbrennung","SEE953451314137, SEE988994692473, SEE960000126950",3,31806,"BHKW Hanau","Erdgas, Erdölgas",0,2026,"KWK926085490737"
"19","ABR901047920507","Verbrennung","SEE910929866741, SEE927787059284, SEE915137840866, SEE905751443291, SEE960175509510, SEE940200876787, SEE966202630769",7,82666.92,"BHKW Hastedt","Erdgas, Erdölgas",0,2022,"KWK953856566780"
"20","ABR977437284269","Verbrennung","SEE976415135319",1,14330,"BHKW Kre","Erdgas, Erdölgas",0,1996,"KWK910950421445"
"21","ABR930591165850","Verbrennung","SEE929826629465",1,12900,"BHKW Ramstein","Erdgas, Erdölgas",0,2018,"KWK973949778340"
"22","ABR946983035717","Verbrennung","SEE936668903264",1,20774,"BHKW1","Erdgas, Erdölgas",0,2022,"KWK928937203502"
"23",NA,"Verbrennung","SEE997988564504",1,11400,"BKR Gasturbine","Erdgas, Erdölgas",1,2006,"KWK992770352130"
"24","ABR958220872382","Verbrennung","SEE927473609168",1,73563,"BNA0174","Erdgas, Erdölgas",0,1967,"KWK906248118494"
"25","ABR949574336156","Verbrennung","SEE930673793902",1,780000,"Bergkamen A","Steinkohlen",0,1981,NA
