osm_id,ags,ort,plz,landkreis,bundesland
62564,05334002,Aachen,52062,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52064,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52066,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52068,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52070,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52072,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52074,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52076,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52078,Städteregion Aachen,Nordrhein-Westfalen
62564,05334002,Aachen,52080,Städteregion Aachen,Nordrhein-Westfalen
391131,13072001,Admannshagen-Bargeshagen,18211,Landkreis Rostock,Mecklenburg-Vorpommern
2409456,15087010,Ahlsdorf,06313,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
1329407,15082005,Aken (Elbe),06385,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1329407,15082005,Aken (Elbe),06386,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
158407,05358004,Aldenhoven,52457,Kreis Düren,Nordrhein-Westfalen
2397385,15087015,Allstedt,06542,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
157993,05334004,Alsdorf,52477,Städteregion Aachen,Nordrhein-Westfalen
394333,13072002,Alt Bukow,18233,Landkreis Rostock,Mecklenburg-Vorpommern
1322902,12066008,Altdöbern,03229,Landkreis Oberspreewald-Lausitz,Brandenburg
1263721,16077001,Altenburg,04600,Landkreis Altenburger Land,Thüringen
2020631,13072004,Altkalen,17179,Landkreis Rostock,Mecklenburg-Vorpommern
1996945,13072003,Alt Sührkow,17166,Landkreis Rostock,Mecklenburg-Vorpommern
1388877,12061005,Alt Zauche-Wußwerk,15913,Landkreis Dahme-Spreewald,Brandenburg
394330,13072005,Am Salzhaff,18233,Landkreis Rostock,Mecklenburg-Vorpommern
2402486,15084012,An der Poststraße,06647,Burgenlandkreis,Sachsen-Anhalt
1307625,14625010,Arnsdorf,01477,Landkreis Bautzen,Sachsen
2408603,15087031,Arnstein,06456,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
534446,14730010,Arzberg,04886,Landkreis Nordsachsen,Sachsen
2402429,15084015,Bad Bibra,06647,Burgenlandkreis,Sachsen-Anhalt
394348,13072006,Bad Doberan,18209,Landkreis Rostock,Mecklenburg-Vorpommern
445993,14730020,Bad Düben,04849,Landkreis Nordsachsen,Sachsen
2405940,15088020,Bad Dürrenberg,06231,Saalekreis,Sachsen-Anhalt
422335,14729010,Bad Lausick,04651,Landkreis Leipzig,Sachsen
1328907,12062024,Bad Liebenwerda,04895,Landkreis Elbe-Elster,Brandenburg
1328907,12062024,Bad Liebenwerda,04924,Landkreis Elbe-Elster,Brandenburg
1328907,12062024,Bad Liebenwerda,04931,Landkreis Elbe-Elster,Brandenburg
158145,05366004,Bad Münstereifel,53902,Kreis Euskirchen,Nordrhein-Westfalen
1310515,14626010,Bad Muskau - Mužakow,02953,Landkreis Görlitz,Sachsen
157991,05334008,Baesweiler,52499,Städteregion Aachen,Nordrhein-Westfalen
1446642,03154001,Bahrdorf,38459,Landkreis Helmstedt,Niedersachsen
2403546,15084025,Balgstädt,06632,Burgenlandkreis,Sachsen-Anhalt
2396133,15088030,Barnstädt,06268,Saalekreis,Sachsen-Anhalt
156532,13072007,Bartenshagen-Parkentin,18209,Landkreis Rostock,Mecklenburg-Vorpommern
394351,13072008,Bastorf,18230,Landkreis Rostock,Mecklenburg-Vorpommern
1959686,13072009,Baumgarten,18246,Landkreis Rostock,Mecklenburg-Vorpommern
1309674,14625020,Bautzen - Budyšin,02625,Landkreis Bautzen,Sachsen
168465,05362004,Bedburg,50181,Rhein-Erft-Kreis,Nordrhein-Westfalen
2020632,13072010,Behren-Lübchin,17179,Landkreis Rostock,Mecklenburg-Vorpommern
1310862,14626020,Beiersdorf,02736,Landkreis Görlitz,Sachsen
1446650,03154002,Beierstedt,38382,Landkreis Helmstedt,Niedersachsen
534449,14730030,Beilrode,04886,Landkreis Nordsachsen,Sachsen
2688685,14730045,Belgern-Schildau,04874,Landkreis Nordsachsen,Sachsen
2688685,14730045,Belgern-Schildau,04889,Landkreis Nordsachsen,Sachsen
420484,14729020,Belgershain,04683,Landkreis Leipzig,Sachsen
394325,13072011,Benitz,18258,Landkreis Rostock,Mecklenburg-Vorpommern
2409457,15087045,Benndorf,06308,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
422921,14729030,Bennewitz,04828,Landkreis Leipzig,Sachsen
393339,13072012,Bentwisch,18182,Landkreis Rostock,Mecklenburg-Vorpommern
2397458,15087055,Berga,06536,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
168469,05362008,Bergheim,50126,Rhein-Erft-Kreis,Nordrhein-Westfalen
168469,05362008,Bergheim,50127,Rhein-Erft-Kreis,Nordrhein-Westfalen
168469,05362008,Bergheim,50129,Rhein-Erft-Kreis,Nordrhein-Westfalen
158457,05978004,Bergkamen,59192,Kreis Unna,Nordrhein-Westfalen
1958439,13072013,Bernitt,18246,Landkreis Rostock,Mecklenburg-Vorpommern
1958439,13072013,Bernitt,18249,Landkreis Rostock,Mecklenburg-Vorpommern
1307707,14625030,Bernsdorf,02994,Landkreis Bautzen,Sachsen
418663,14626030,Bernstadt auf dem Eigen,02748,Landkreis Görlitz,Sachsen
1389284,12061017,Bersteland,15910,Landkreis Dahme-Spreewald,Brandenburg
418121,14626050,Bertsdorf-Hörnitz,02763,Landkreis Görlitz,Sachsen
1352904,12061020,Bestensee,15741,Landkreis Dahme-Spreewald,Brandenburg
394328,13072014,Biendorf,18230,Landkreis Rostock,Mecklenburg-Vorpommern
1307621,14625040,Bischofswerda,01877,Landkreis Bautzen,Sachsen
1329611,15082015,Bitterfeld-Wolfen,06749,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1329611,15082015,Bitterfeld-Wolfen,06766,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1329611,15082015,Bitterfeld-Wolfen,06803,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
1329611,15082015,Bitterfeld-Wolfen,06808,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
393348,13072015,Blankenhagen,18182,Landkreis Rostock,Mecklenburg-Vorpommern
158156,05366008,Blankenheim,53945,Kreis Euskirchen,Nordrhein-Westfalen
2399205,15087070,Blankenheim,06528,Landkreis Mansfeld-Südharz,Sachsen-Anhalt
420478,14729040,Böhlen,04564,Landkreis Leipzig,Sachsen
