Revier;Name;Namensgebender_Ort;Bundesland;Beginn;Ende;Groesse_ha;Status;Betreiber;Link
Lausitzer Braunkohlerevier;Cottbus-Nord;Cottbus;Brandenburg;1978;2015;1900 (gepl. Restsee);stillgelegt (Cottbuser Ostsee);LEAG;https://www.kuladig.de/Objektansicht/BKM-32000474
Lausitzer Braunkohlerevier;Jaenschwalde;Jaenschwalde;Brandenburg;1974;2023;3165 (bis 2041 gepl.);stillgelegt;LEAG;https://www.kuladig.de/Objektansicht/BKM-32000299
Lausitzer Braunkohlerevier;Nochten;Nochten;Sachsen;1968;ca. 2050;9000;in Betrieb;LEAG;https://www.kuladig.de/Objektansicht/BKM-31100014
Lausitzer Braunkohlerevier;Reichwalde;Reichwalde;Sachsen;1985;ca. 2040;;in Betrieb;LEAG;https://www.kuladig.de/Objektansicht/BKM-30700270
Lausitzer Braunkohlerevier;Welzow-Sued;Welzow;Brandenburg;1962;2042;1600 (Restloch);in Betrieb;LEAG;https://www.kuladig.de/Objektansicht/BKM-32000472
Mitteldeutsches Braunkohlerevier;Amsdorf;Amsdorf;Sachsen-Anhalt;1958;ca. 2035;1000;in Betrieb;ROMONTA GmbH;
Mitteldeutsches Braunkohlerevier;Profen;Profen;Sachsen-Anhalt;1941;2035;1660;in Betrieb;MIBRAG;
Mitteldeutsches Braunkohlerevier;Vereinigtes Schleenhain;Schleenhain;Sachsen;1949;ca. 2040;2500 (bislang genutzt);in Betrieb;MIBRAG;
Rheinisches Braunkohlerevier;Bergheim;;Nordrhein-Westfalen;;2002;;verfuellt, Rekultivierung bis 2011;RWE Power;
Rheinisches Braunkohlerevier;Frechen;;Nordrhein-Westfalen;1951;2003;;rekultiviert;Rheinbraun;
Rheinisches Braunkohlerevier;Garzweiler;;Nordrhein-Westfalen;;ca. 2045;2300;in Betrieb;RWE Power;
Rheinisches Braunkohlerevier;Hambach;;Nordrhein-Westfalen;1978;ca. 2040;ca. 4000;in Betrieb;RWE Power;
Rheinisches Braunkohlerevier;Inden;;Nordrhein-Westfalen;1978;ca. 2030;1100 (genehmigt 4500);in Betrieb;RWE Power;
